1000 3022
633 55 1
653 633 1
195 159 1
103 433 1
633 837 1
179 954 1
826 250 1
375 159 1
889 159 1
633 107 1
450 159 1
839 895 1
317 633 1
633 437 1
776 74 1
332 810 1
610 738 1
663 159 1
41 608 1
819 56 1
839 126 1
76 633 1
885 633 1
633 110 1
743 633 1
4 594 1
475 159 1
702 633 1
138 843 1
187 159 1
297 633 1
508 159 1
139 245 1
432 72 1
587 633 1
307 661 1
633 216 1
728 580 1
18 244 1
100 633 1
22 582 1
271 326 1
633 15 1
853 810 1
544 159 1
794 159 1
99 241 1
419 159 1
368 479 1
547 719 1
633 129 1
633 646 1
890 816 1
415 455 1
421 159 1
633 981 1
666 534 1
23 670 1
337 413 1
766 633 1
38 754 1
633 277 1
301 633 1
768 837 1
853 776 1
773 711 1
391 900 1
633 841 1
752 633 1
13 35 1
716 550 1
633 284 1
212 159 1
134 633 1
633 556 1
39 633 1
354 715 1
980 869 1
633 965 1
56 159 1
639 633 1
890 159 1
1 832 1
633 701 1
217 287 1
30 869 1
357 476 1
704 159 1
813 97 1
520 320 1
143 259 1
633 738 1
870 321 1
670 28 1
9 633 1
422 920 1
327 916 1
514 805 1
479 785 1
633 544 1
546 109 1
781 745 1
29 994 1
272 633 1
190 514 1
724 487 1
733 159 1
633 159 1
1000 471 1
17 159 1
633 632 1
541 441 1
755 691 1
715 159 1
705 269 1
439 955 1
880 984 1
150 499 1
894 633 1
607 806 1
766 453 1
453 965 1
259 858 1
534 159 1
237 629 1
633 211 1
979 159 1
666 633 1
443 785 1
238 633 1
633 800 1
611 473 1
991 206 1
223 321 1
740 669 1
472 633 1
581 159 1
72 159 1
820 890 1
509 633 1
720 368 1
70 237 1
449 980 1
285 159 1
199 492 1
232 159 1
517 303 1
633 637 1
231 633 1
234 159 1
633 408 1
137 907 1
729 594 1
913 669 1
442 327 1
743 584 1
664 744 1
437 561 1
274 670 1
433 223 1
633 446 1
840 159 1
366 633 1
576 633 1
609 52 1
939 994 1
633 678 1
384 159 1
993 159 1
804 105 1
362 178 1
417 633 1
155 884 1
280 159 1
323 633 1
348 550 1
154 159 1
712 716 1
394 409 1
969 196 1
658 633 1
153 159 1
998 995 1
493 445 1
62 633 1
145 852 1
218 159 1
633 489 1
635 805 1
104 932 1
703 318 1
252 645 1
786 549 1
973 633 1
773 124 1
109 264 1
687 990 1
85 159 1
853 159 1
567 596 1
427 159 1
633 38 1
111 951 1
822 716 1
760 226 1
150 633 1
861 85 1
114 159 1
85 12 1
258 633 1
491 690 1
528 990 1
633 96 1
486 126 1
842 507 1
702 593 1
666 791 1
978 91 1
743 903 1
633 504 1
68 197 1
83 696 1
273 863 1
115 84 1
288 601 1
126 921 1
971 994 1
988 159 1
839 36 1
376 711 1
633 912 1
633 994 1
633 749 1
408 159 1
39 310 1
666 523 1
855 92 1
250 746 1
820 839 1
242 159 1
258 889 1
528 633 1
956 239 1
520 695 1
877 932 1
111 338 1
404 633 1
905 159 1
633 83 1
307 475 1
155 354 1
861 446 1
350 159 1
633 657 1
928 126 1
479 633 1
799 249 1
603 881 1
633 25 1
710 900 1
930 244 1
537 633 1
3 646 1
887 317 1
125 633 1
868 267 1
204 903 1
318 678 1
57 598 1
469 633 1
624 114 1
426 203 1
689 941 1
757 25 1
785 331 1
313 745 1
292 159 1
165 633 1
84 633 1
819 556 1
364 159 1
95 803 1
361 429 1
935 633 1
137 189 1
633 811 1
1 959 1
473 7 1
763 633 1
479 53 1
84 286 1
580 633 1
897 159 1
796 747 1
181 159 1
721 627 1
787 49 1
813 633 1
364 347 1
233 623 1
455 633 1
698 769 1
378 351 1
503 633 1
452 395 1
592 633 1
291 557 1
988 355 1
751 434 1
102 569 1
135 159 1
968 832 1
57 633 1
726 953 1
794 207 1
817 664 1
14 176 1
865 944 1
768 159 1
428 571 1
